,InSituSM
2020-07-04,0.2172578431372549
2020-07-14,0.24162515295358647
2020-07-24,0.24022328846985408
2020-08-03,0.24779053347280336
2020-08-13,0.25729819444444446
2020-08-23,0.18519281148303113
2020-09-02,0.2663955693210043
2020-09-12,0.2652748611111111
2020-09-22,0.24424544976174675
2020-10-02,0.2298622977684798
2020-10-12,0.19998038657973313
2020-10-22,0.2279453551104911
2020-11-01,0.2685956589834515
2020-11-11,0.2491512107609899
2020-11-21,0.29555800632869406
2020-12-01,0.2974321135829771
2020-12-11,0.2933691186722437
2020-12-21,0.2827934841180115
2020-12-31,0.3286695272776818
2021-01-10,0.3111301388888889
2021-01-20,0.32530946327683613
2021-01-30,0.36356926829268293
2021-02-09,
2021-02-19,0.29901727272727274
2021-03-01,0.28090641074129313
2021-03-11,0.3505261398023776
2021-03-21,0.37429025547847833
2021-03-31,0.29530388888888887
2021-04-10,0.28811561736411734
2021-04-20,0.28954493898186895
2021-04-30,0.2684062979145368
2021-05-10,0.25843049930965295
2021-05-20,0.3519422331605202
2021-05-30,0.3362870192809225
2021-06-09,0.3291332781765018
2021-06-19,0.2500472660391648
2021-06-29,0.36653748299319727
2021-07-09,0.3095859135285914
2021-07-19,0.29975931659693167
2021-07-29,0.2974793374047038
2021-08-08,0.2715620165260197
2021-08-18,0.30514579103996525
2021-08-28,0.23428527777777777
2021-09-07,0.17052286881419235
2021-09-17,0.13688822005789764
2021-09-27,0.21525948131278358
2021-10-07,0.2680498611111111
2021-10-17,0.2500855451394406
2021-10-27,0.28164875
2021-11-06,0.27442435553231054
2021-11-16,0.25604416666666663
2021-11-26,0.23544015681047425
2021-12-06,0.22540739675233346
2021-12-16,0.2304880582275234
2021-12-26,0.2606703477422892
2019-01-01,0.29135895522388056
2019-01-11,0.2931002866134652
2019-01-21,0.2835845232771586
2019-01-31,0.274125486218461
2019-02-10,0.29219859600401143
2019-02-20,0.2821562631478294
2019-03-02,0.26805703258730346
2019-03-12,0.2731782293108052
2019-03-22,0.2706782998071094
2019-04-01,0.2582890331890332
2019-04-11,0.22411020833333334
2019-04-21,0.2620413808373591
2019-05-01,0.27634130298197285
2019-05-11,0.2628069187387849
